날짜,10대,20대,30대,40대,50대,60대,70대,기타
17-Jan,204,1716,760,472,180,46,14,
17-Feb,365,2741,1137,616,220,41,28,
17-Mar,727,9523,3871,2135,702,163,498,
17-Apr,1409,20809,8473,3761,1219,256,94,
17-May,2321,27635,11563,5425,1986,445,197,
17-Jun,2148,26789,12866,6532,2417,516,185,
17-Jul,1330,13761,6086,3472,1616,347,109,
17-Aug,1866,20289,8361,4482,1881,425,137,
17-Sep,3122,40093,16072,7673,2985,632,227,
17-Oct,3130,32100,15500,9021,3454,710,267,
17-Nov,928,6690,3541,2372,927,197,61,
17-Dec,462,2164,1072,766,367,82,15,
18-Jan,211,2128,1038,714,341,101,19,
18-Feb,348,3211,1434,893,432,114,30,
18-Mar,1036,15601,6272,3652,1685,403,101,
18-Apr,1633,26294,11410,5594,2452,517,146,
18-May,2641,33669,15101,7398,2945,615,188,
18-Jun,1940,13434,11504,5408,2178,465,0,28770.0
18-Jul,6776,39365,11434,5967,2375,469,98,
18-Aug,6016,34267,9145,4922,1962,377,79,
18-Sep,10405,68603,19645,10497,4094,753,136,
18-Oct,7724,41954,15213,8866,3222,587,112,
18-Nov,4251,15466,5375,3373,1410,315,51,
18-Dec,2206,5595,2077,1249,495,134,20,
19-Jan,1701,6783,2261,1440,691,178,30,
19-Feb,2287,10455,3091,1982,955,197,27,
19-Mar,3982,24424,7877,4972,2011,433,71,
19-Apr,6960,52167,17630,9336,3573,788,109,
19-May,14531,78615,24245,12825,5327,1010,167,
19-Jun,0,0,0,0,0,0,0,107798.0
19-Jul,0,0,0,0,0,0,0,79457.0
19-Aug,0,0,1,0,0,0,0,73897.0
19-Sep,0,0,0,0,0,0,0,91846.0
19-Oct,10507,34774,17275,10145,4052,791,6535,12.0
19-Nov,6301,14995,7513,4950,2197,478,63,18.0
19-Dec,3828,5950,2860,1884,839,219,34,13.0
20-Jan,2614,6637,2950,1931,978,249,38,10.0
20-Feb,3095,9845,3893,2630,1334,325,47,77.0
20-Mar,13401,50186,17534,12007,5559,1139,158,62.0
20-Apr,15535,62048,26319,17802,7714,1687,231,120.0
20-May,13925,60123,26495,16850,7371,1612,244,915.0
20-Jun,10979,45667,22320,13680,6512,1586,194,9243.0
20-Jul,10528,43606,17855,12134,6036,1463,172,58985.0
20-Aug,5760,19016,8422,5568,2940,821,109,37899.0
20-Sep,12928,45945,21361,14053,7052,1626,223,66309.0
20-Oct,10217,33676,17828,13151,6508,1545,209,105735.0
20-Nov,5270,13896,6614,4536,2377,674,96,31570.0
20-Dec,4504,6326,3685,3064,1735,573,78,4823.0
21-Jan,2458,5756,2991,2197,1187,390,69,26.0
21-Feb,7556,17959,7880,6060,3207,895,139,1100.0
21-Mar,7609,25398,10505,6942,3461,1073,123,10973.0
21-Apr,2082,8173,4487,2971,1212,326,37,74619.0
21-May,965,2753,2381,2177,848,273,31,69494.0
21-Jun,494,2096,1974,1789,843,278,26,64441.0
21-Jul,7880,21374,12012,8088,4550,1485,309,271
21-Aug,2064,7470,4511,3310,1627,451,78,40225
21-Sep,9198,33133,17967,12032,6441,1903,323,528
21-Oct,6761,21007,11575,8216,4482,1445,233,285
21-Nov,5655,13326,7269,5361,2992,917,143,180
21-Dec,3494,5149,2808,2158,1281,418,70,66
22-Jan,2462,4892,2368,1635,1028,345,76,52
22-Feb,3327,6811,3266,2301,1365,480,61,76
22-Mar,6052,17082,8176,5593,2974,955,159,199
22-Apr,10941,38556,21022,12564,6181,1900,315,430
22-May,15738,38819,21090,13331,6943,2021,358,486
22-Jun,8494,25932,15660,10165,5660,1725,282,422
